CST 2026-08-09 17:43:07.352  1510  1510 W A01c03/LM: HighFrequencyCallStatistics: SCENE: Initialing used-scene loadGridList is undesirable.
CST 2026-08-09 17:43:07.352  1510  1510 I A01c03/LM: HighFrequencyCallStatistics: record scene lightPagingFiltering at 67992 as NORMAL
CST 2026-08-09 17:43:07.352  1510  1510 I A01b01/HOME: BaseLayoutCacheManager: getAllGridLayoutItemList from basic desktop, size: 5
CST 2026-08-09 17:43:07.353  1510  1510 I A01b01/HOME: BaseLayoutCacheManager: getAllGridLayoutItemList from basic desktop, size: 5
CST 2026-08-09 17:43:07.353  1510  1510 I A01b01/HOME: PageDesktopViewModel --> getAppListInfo bundlInfoListLen:5,layoutInfoLen:5
CST 2026-08-09 17:43:07.353  1510  1510 I A01b01/HOME: PageDesktopViewModel --> getAppListInfo end, appListInfo length: 5, layoutInfo length: 5,needResetAppInfoList:0
CST 2026-08-09 17:43:07.353  1510  1510 I A01b01/HOME: PageDeskTopViewModelUtils --> appListInfo exclude folder lenth: 5
CST 2026-08-09 17:43:07.353  1510  1510 E A01b01/HOME: PageDesktopViewModel --> elementPage is not less than pageCount-->pageCount:1, elementPage:1, bundleName:cn.alfadb.netbird.r1probe, row:0, column:0
CST 2026-08-09 17:43:07.353  1510  1510 I A01b01/HOME: PageDesktopViewModel --> integrateSwiper max 2
CST 2026-08-09 17:43:07.353  1510  1510 I A01b01/HOME: PageDesktopViewModel --> getMaxPage rdbPageCount: 1, isOuter: false
CST 2026-08-09 17:43:07.353  1510  1510 I A01b01/HOME: PageDesktopViewModel --> gridAppsInfos: { integrateSwiper page:0,row:0,col:0,com.huawei.hmos.settings,typeid:0. appIndex: 0,uninstallable: false,{ integrateSwiper page:0,row:0,col:1,com.huawei.hmos.photos,typeid:0. appIndex: 0,uninstallable: false,{ integrateSwiper page:0,row:0,col:2,com.huawei.hmos.files,typeid:0. appIndex: 0,uninstallable: true,{ integrateSwiper page:0,row:0,col:3,com.huawei.hmos.calendar,typeid:0. appIndex: 0,uninstallable: true,
CST 2026-08-09 17:43:07.353  1510  1510 I A01b01/HOME: PageDesktopViewModel --> gridAppsInfos: { integrateSwiper page:1,row:0,col:0,cn.alfadb.netbird.r1probe,typeid:0. appIndex: 0,uninstallable: true,
CST 2026-08-09 17:43:07.353  1510  1510 I A01b01/HOME: PageDesktopViewModel --> checkBlankPages needCheckBlankPage: false.
CST 2026-08-09 17:43:07.353  1510  1510 I A01b01/HOME: BaseLayoutCacheManager: updatePageCount with pageCount 2 from basic desktop , db true
CST 2026-08-09 17:43:07.353  1510  1510 W A01b01/HOME: PageInfoManager: pageCount changed to 2 from 1 when isOut:false by: updatePageCount
CST 2026-08-09 17:43:07.354  1510  1510 I A01b01/HOME: PageDesktopViewModel --> lightPagingFiltering length of appListInfo:5 waterfallInfo:0 bundleInfo:5
CST 2026-08-09 17:43:07.354  1510  1510 W A01b01/HOME: LayoutViewModel: updateDesktopLayoutData, reason: lightPagingFiltering, app length: 2
CST 2026-08-09 17:43:07.354  1510  1510 I A01b00/SCB: LocalEventManager: sendLocalEvent, send local event with no receiver
CST 2026-08-09 17:43:07.355  1510  1510 W A01b01/HOME: GridSwiper --> GridSwiper preload pages again. old page:1 -> newPages:2
CST 2026-08-09 17:43:07.355  1510  1510 W A01b01/HOME: PageInfoManager: getHomePageIndex dbIndex: 0
CST 2026-08-09 17:43:07.356  1510  1510 I A01b01/HOME: LauncherStartup: passStep PRELOAD when 1786268587356 and valueInfo:check_appListInfoChange_100_true_2_true
CST 2026-08-09 17:43:07.356  1510  1510 W A01b01/HOME: PageInfoManager: getHomePageIndex dbIndex: 0
CST 2026-08-09 17:43:07.356  1510  1510 I A01b01/HOME: PreLoadViewModel --> getNextPreload>>> p:0
CST 2026-08-09 17:43:07.356  1510  1510 I A01b01/HOME: LauncherStartup: passStep PRELOAD when 1786268587356 and valueInfo:begin_appListInfoChange_2_0
CST 2026-08-09 17:43:07.356  1510  1510 W A01b01/HOME: PreLoadViewModel --> preload swiper begin with pageLength:2 and preloadPage:0 when appListInfoChange
CST 2026-08-09 17:43:07.356  1510  1510 I A01b01/HOME: PreLoadViewModel --> getNextPreload>>> p:1
CST 2026-08-09 17:43:07.356  1510  1510 I A01b01/HOME: PreLoadViewModel --> preloadNextPage begin preloadPageIndex: 0/2, tryCount: 0
CST 2026-08-09 17:43:07.356  1510  1510 I A01b01/HOME: PreLoadViewModel --> preload swiper and set this.isNeedPreload false
CST 2026-08-09 17:43:07.356  1510  1510 I A01b01/HOME: GridSwiper --> pages length: 2, pages: [1,3]
CST 2026-08-09 17:43:07.356  1510  1510 I A01b01/HOME: SwiperIndicator --> updateValues current: 0 updateValues: 0
CST 2026-08-09 17:43:07.357  1510  1510 I A01b01/HOME: BaseLayoutCacheManager: getAllGridLayoutItemList from editMode_pageEdit, size: 5
CST 2026-08-09 17:43:07.357  1510  1510 I A01b01/HOME: PageEditManager: new pages 1,3
CST 2026-08-09 17:43:07.358  1510  1510 I A01b01/HOME: PageEditManager: isSimpleLauncherMode false
CST 2026-08-09 17:43:07.358  1510  1510 I A01b01/HOME: PageEditManager: isBlankPageChange false
